BatchID,NumProcesses,AvgPriority,AvgBurstTime,AvgArrivalTime,BestAlgo,AWT,ATAT,ART
734,10,4.4,15.6,107267.7,FCFS,15.4,31,15.4
735,10,5.1,17.1,107607.4,SRTF,23.6,40.7,18
736,10,4.4,20.9,107726.3,SRTF,12.1,33,10.5
737,10,3.7,35.3,107854.1,SRTF,78.8,114.1,60.8
738,10,4.7,25.1,107908.2,SRTF,39.7,64.8,26.8
739,10,4.7,22.9,107985.3,RR,84.9,107.8,13.2
740,10,4.6,37.6,108027.8,SJF,98.7,136.3,98.7
741,10,4.6,14.6,108234.1,FCFS,7,21.6,7
742,10,4.1,14.6,108502.5,FCFS,7.7,22.3,7.7
743,10,4.1,15.1,108846.6,SJF,20.4,35.5,20.4
744,10,5.1,18.9,108970.7,SRTF,26.5,45.4,21.4
745,10,4.3,28.8,109048.1,SRTF,32.9,61.7,22.1
746,10,4,18.6,109113.6,SRTF,34.7,53.3,25.3
747,10,4.5,22.1,109136.9,SRTF,38.1,60.2,37.8
748,10,3.8,15.7,109175.4,SRTF,23.4,39.1,22.3
749,10,3.8,14.9,109403.4,RR,18.5,33.4,3.2
750,10,5.8,14.7,109687.2,SJF,8.9,23.6,8.9
751,10,4.5,19.8,109879.9,SRTF,24.3,44.1,21.8
752,10,5.3,20.8,110039.3,SRTF,23.6,44.4,18.1
753,10,3.8,10.8,110119.7,SRTF,9.9,20.7,4
754,10,2.7,22.4,110182.4,SRTF,42.2,64.6,41.6
755,10,5.3,19.2,110238,RR,75.3,94.5,7.8
756,10,4.4,12.2,110288.2,SRTF,23.6,35.8,23.3
757,10,4.7,15.2,110384.9,RR,30.1,45.3,6.3
758,10,4.7,15.1,110736.3,FCFS,0.3,15.4,0.3
759,10,4.2,16.1,111027.3,SRTF,7.6,23.7,5
760,10,5.1,17.7,111184.7,SRTF,8.1,25.8,5.8
761,10,5,18.2,111284.5,SRTF,24.8,43,15.1
762,10,4.1,9.1,111345.2,SRTF,11.1,20.2,7
763,10,4.3,14.4,111389,SRTF,33.3,47.7,23.4
764,10,4.2,27.5,111430.8,SRTF,56.9,84.4,53.2
765,10,5.5,14.9,111719.2,RR,1.6,16.5,0.5
766,10,4.8,14.4,112023.9,RR,7.9,22.3,1.1
767,10,3.4,10.5,112290.4,SRTF,0.8,11.3,0.1
768,10,6,23.8,112522.4,RR,21.7,45.5,3
769,10,4.1,28.9,112632.4,SRTF,46.9,75.8,45.5
770,10,4.9,17.3,112667.4,SRTF,32.7,50,20.3
771,10,4,19.3,112717.4,SRTF,28.6,47.9,26.7
772,10,4.7,10.8,112754.1,SJF,21.8,32.6,21.8
773,10,4.9,14.6,112957.9,FCFS,0.2,14.8,0.2
774,10,4.5,16.9,113265.6,FCFS,4.2,21.1,4.2
775,10,5.5,29.1,113489.8,RR,98.7,127.8,9.5
776,10,4.2,24.9,113637.1,SRTF,37.2,62.1,22.7
777,10,4.5,10.4,113721.4,SRTF,20.2,30.6,17.5
778,10,4.4,18.8,113750.4,SRTF,33,51.8,32.8
779,10,5.3,21.4,113781.3,SRTF,41.6,63,40.8
780,10,4.8,14.4,113808,SRTF,33.4,47.8,19
781,10,4.6,15.4,113998.9,RR,14.8,30.2,2.9
782,10,4.2,15,114318.1,FCFS,2.7,17.7,2.7
783,10,4.9,15.3,114535.5,SRTF,4,19.3,3
784,10,5.2,29.9,114771.6,RR,80.2,110.1,10.1
785,10,4.1,17.6,114910.2,SRTF,26.7,44.3,20.2
786,10,4.3,12.1,114953.2,SRTF,23.6,35.7,21.7
787,10,4.7,23.5,114992.6,SRTF,43,66.5,40.6
788,10,4.1,16.5,115049.8,SRTF,21.3,37.8,20.1
789,10,4.9,15,115231.6,FCFS,5.1,20.1,5.1
790,10,4.8,16.3,115616.7,FCFS,1.8,18.1,1.8
791,10,4.6,17.9,115798.4,RR,53.5,71.4,9.4
792,10,4.6,22.5,115943.2,SRTF,27.3,49.8,22.4
793,10,4.4,18.5,116046.8,SRTF,10.1,28.6,8.8
